ind,sentence,talkNum,sentenceNum
0,"People get about half of their added sugars from those drinks and treats, so it might seem like sugar is hiding in plain sight, but like someone in the witness protection program, the other half is hidden in places you'd least suspect.",2661,2
1,"You become whatever it is that will freeze you, numb you and protect you from doubt or change.",4154,32
2,"And I spent four years with my colleagues Adam Pack and Fabienne Delfour, working out in the field with this keyboard using it with each other to do requests for toys while the dolphins were watching.",2909,80
3,"Every year, electricity generation  is responsible for about 27% of the more than 50 billion tons  of greenhouse gases we add to the atmosphere, accelerating climate change  and all its harms.",19,21
4,Now help me not to be a beggar anymore.",3387,137
5,"I have phlebitis at the moment, in both legs, and that's the reason that I had to have a little help in getting up here, because I have Parkinson's disease in addition to that, and some other problems that I won't talk about.",4188,28
6,"When I was growing up, I really  liked playing hide-and-seek a lot.",2338,0
7,"Because the owner said, "There's one billion dollars of beryllium in that mountain."",4111,114
8,Those who believe the manuscript was an attempt to create a new form of written language speculate that it might be an encyclopedia containing the knowledge  of the culture that produced it.,1755,30
9,But why do we teach girls to aspire to marriage and we don't teach boys the same?I know a woman who decided to sell her house because she didn't want to intimidate a man who might marry her.,1792,117
10,Our fears also tend to contain imagery that can be every bit as vivid as what you might find in the pages of a novel.,3053,54
11,"All the king's horses and all the king's men ... will never gather up all the plastic and put the ocean back together again.Narrator (Video): The levels are increasing, the amount of packaging is increasing, the "throwaway" concept of living is proliferating, and it's showing up in the ocean.Anchor: He offers no hope of cleaning it up.",4058,47
12,"Here's another individual, sampled on two separate days — repeat visits to the clinic.",4072,92
13,But little of this wealth is trickling down.,1514,39
14,"While a few people experience sleep paralysis regularly and it may be linked to sleep disorders such as narcolepsy, many who experience an episode of sleep paralysis do so infrequently, perhaps only once in a lifetime.",2856,40
15,"The data revealed that toddlers were pretty happy when they got this pile of Goldfish for themselves, but they were actually even happier when they got to give some of their Goldfish away.And this warm glow of giving persists into adulthood.",904,17
16,"We build walls for everything: for shelter, for protection, for privacy.",431,2
17,"Lord Shiva— primordial destroyer of evil, slayer of demons, protector, and omniscient observer  of the universe— was testing his wife’s patience.Historically, the union between  Shiva and Parvati was a glorious one.",511,0
18,This is actually sensor firings.These are two different subjects in our study.,3828,150
19,"But within a few weeks, university students were able to use mobile phones and an open-source platform to dramatically map the entire community infrastructure.",3105,46
20,"So we have a network of former extremists and survivors of extremism that tell their stories through video and create question-giving to classrooms, to start a conversation about the topic.These two examples show Christianne, who lost her son, who radicalized and died fighting for ISIS, and Daniel is a former neo-Nazi who was an extremely violent neo-Nazi, and they pose questions about their lives and where they're at and regret, and force a classroom to have a dialogue around it.Now, looking at that middle range of individuals, actually, we need a lot of civil society voices.",1676,57
21,""The first time I heard "mental health," I was a boarding school student fresh off the boat from Ghana, at the Peddie School in New Jersey.",1773,14
22,How do we do it with a dog?,812,26
23,"OK now, more importantly, had we been there in the '40s and '50s, '60s, had we seen this disease, had we understood exactly what was going on with it, how might that have changed and completely transformed the nature of the way this pandemic moved?In fact, this is not unique to HIV.",4036,5
24,"It also means that games aren't really going to be as surprising as they could be, because you only get out of it, at least in terms of the character, what you actually put into it.",4194,17
25,And then I ask an even more stupid question: "Why don't you have the prostheses?,3387,44
26,"And this is important for our biomedicine, because we don't know how to micromanage the construction of an eye.",4,98
27,"So now we know what the smell of malaria is, and we've used the mosquito as a biosensor to tell us what the smell of malaria actually is.Now I'd like to imagine that you could, I don't know, put a harness on a little mosquito and put it on a lead and take it out and see if we can sniff people in a community — that goes on in my head — and see whether we could actually find people with malaria, but, of course, that's not really possible.",676,92
28,"You know, ironically, we have to isolate physically, while in terms of looking at community groups that are pooling resources to help make sure food gets to everyone and help assure medical care, you know, if older people need to be moved out of common facilities, you help out with that, and that people aren't suffering too much from the psychology of isolation.",444,212
29,"As telecoms sector grew, housing and construction, and I could go on and on.",4333,97
30,"Now, around the time that this song was in heavy rotation, biologists were in deep discussion about whether bird species, notably songbirds and waterfowl were actually monogamous or not.",915,15
31,""(Laughter)But this is a crisis of, not natural resources — though I believe that's true — but a crisis of human resources.I believe fundamentally, as many speakers have said during the past few days, that we make very poor use of our talents.",3780,18
32,"And while I thought everything was perfect, my team — which was basically my friends and neighbors at that time — thought everything was going so well, we had no idea a big opposition was coming to us.My community stood up against us, saying we were spreading un-Islamic behavior.",2409,31
33,"In 2016, astronomers confirmed there's a planet in the habitable zone of the closest star, Proxima Centauri — so close that Breakthrough Starshot project plans to send probes there.",1296,33
34,"When we look at this video of Steve here, it appears to us like a static picture, but once we look at this video through our new, special microscope, suddenly we see a completely different image.",2450,8
35,"But in reality, we were often just mentoring each other.In sum, CEO Brian Chesky brought me in for my industry knowledge, but what I really offered was my well-earned wisdom.",1172,67
36,All it takes is willingness to play.,1068,142
37,We start to integrate commercial and mixed use so the people all have centers and places to be.,4353,171
38,Now imagine archeologists digging through the rubble of one of our cities.,3513,4
39,"If a big country like China, for example, continues to grow even for just a few extra years, that will make a big difference to when we need to decarbonize.",2244,86
40,I know from my own experience that Princess Leia did not provide the adequate context that I could have used in navigating the adult world that is co-ed.,3037,32
41,"So here I made a distribution builder where instead of showing numerical outcomes, I show people what those outcomes will get you, in particular apartments that you can afford if you're retiring on 3,000, 2,500, 2,000 dollars per month and so on.",3389,116
42,"And no matter what country you live or work in, you've also seen the extraordinary things that individuals are capable of, even in their most ordinariness.Today there is a raging debate as to how best we lift people out of poverty, how best we release their energies.",3931,7
43,"Imagine if we could do that, because if we could do it, we could scale.",2801,108
44,"And when these concepts underlie our teaching and what we think about the world, then we have a problem, because we stymie support for everything.",4009,28
45,"And I found that in 29 seconds, it tells more about the power of, and importance of, independent media than I could say in an hour.",4407,3
46,"(Laughter)So, sorry — it just feels like I should be doing stand-up up here because of the setting.",4385,1
47,"So how can one be 10% more French  than the other?Tests like these rely on our DNA  to answer questions about our ancestry, but our DNA actually  can’t tell us everything about who we are or where we’re from.",352,3
48,But now he is foregoing these superficial services.,3320,122
49,He would have understood those; a chariot of pure intent — think about it — in a city out of control.,3225,197
50,"So it's not a totally, abjectly miserable story by the United States.",44,51
51,"And it led me to astrobiology, the study of possible life in the universe.",4321,18
52,Because it sounds big.,3388,62
